DATE;CLOSING PRICE;OPEN;DAILY HIGH;DAILY LOW
10/23/2012;70762.31;71338.42;71341.96;70556.35
10/24/2012;70708.41;70910.83;71013.54;70531.86
10/30/2012;71716.91;70676.54;71716.91;70629.47
10/31/2012;72528.97;71843.83;72703.01;71843.83
11/1/2012;72552.51;72574.24;72940.82;72164.52
11/2/2012;71422.61;72513.49;72513.49;71329.77
11/5/2012;72737.10;71615.09;73313.87;71092.91
11/6/2012;72039.74;72696.23;72851.24;71950.74
11/7/2012;71604.91;72422.71;72805.22;71601.35
11/8/2012;72649.83;71797.23;72664.32;71455.44
11/9/2012;71820.28;72756.56;73013.99;71659.44
11/12/2012;71357.03;71818.19;71884.25;71357.03
11/13/2012;72015.20;71194.48;72015.20;71042.97
11/14/2012;71325.57;72080.11;72552.76;71325.57
11/15/2012;71597.22;71347.88;71623.19;71253.24
11/16/2012;70790.51;71555.55;71763.74;70759.68
11/19/2012;70607.40;70938.81;71143.36;70224.38
11/20/2012;70636.74;70822.76;71083.48;70556.08
11/21/2012;70460.76;70599.25;71435.50;70243.90
11/22/2012;69926.07;70692.48;71058.01;69926.07
11/23/2012;71004.31;70149.13;71079.31;69817.03
11/26/2012;71866.85;71183.76;71910.88;71107.93
11/27/2012;71999.71;72072.24;72608.25;71655.10
11/28/2012;71974.49;72159.22;72462.30;71566.22
11/29/2012;72448.89;72325.28;72891.74;72325.28
11/30/2012;73058.51;72636.80;73074.64;72418.55
12/3/2012;74298.91;73125.79;74298.91;73125.79
12/4/2012;75522.65;74226.88;75547.43;74185.02
12/5/2012;76038.35;75920.40;76131.88;75095.60
12/6/2012;75785.58;75736.08;76247.04;75539.88
12/7/2012;76242.20;75677.96;76346.25;75437.55
12/10/2012;76734.40;76236.01;76954.33;76047.54
12/11/2012;76814.77;76823.63;77573.22;76750.44
12/12/2012;77404.37;77027.55;77466.41;76731.70
12/13/2012;76963.34;77620.16;77804.38;76889.34
12/14/2012;76293.15;77089.16;77362.79;76204.29
12/17/2012;77466.90;76382.45;77529.40;76300.76
12/18/2012;77298.45;77844.94;78136.69;77260.82
12/19/2012;76810.26;77625.13;77889.68;76801.86
12/20/2012;76814.43;76826.70;77435.52;76658.71
12/21/2012;76684.74;76467.23;76892.51;76408.56
12/24/2012;77314.46;76811.17;77544.83;76719.77
12/25/2012;77596.24;77485.82;77783.69;77451.94
12/26/2012;77991.10;77852.44;78239.93;77731.29
12/27/2012;78454.19;78103.39;78862.07;78103.39
12/28/2012;78579.08;79008.08;79077.32;78311.97
12/31/2012;78208.44;78541.95;78671.98;77676.06
1/2/2013;79642.08;78857.34;79689.40;78680.79
1/3/2013;80033.33;79777.24;80165.66;79392.47
1/4/2013;79563.95;79756.88;79959.54;79293.65
1/7/2013;80224.41;79800.65;80443.67;79674.06
1/8/2013;80161.71;80394.87;81077.86;80022.67
1/9/2013;81149.13;80417.23;81150.53;79815.05
1/10/2013;80837.46;81416.08;81505.03;80476.99
1/11/2013;81033.52;81053.04;81351.89;80738.85
1/14/2013;81990.01;81417.20;82219.54;81229.43
1/15/2013;82406.13;81998.62;82512.28;81706.43
1/16/2013;84082.15;82608.62;84173.73;82516.45
1/17/2013;84860.26;84405.25;85395.19;84294.67
1/18/2013;85004.87;85182.14;85596.65;84209.93
1/21/2013;85281.53;85297.46;85719.36;84901.55
1/22/2013;85646.87;85459.72;86497.46;84532.49
1/23/2013;86340.97;85835.22;86497.17;85680.92
1/24/2013;86437.89;86656.73;86787.15;85783.11
1/25/2013;84755.10;86569.97;86614.59;84666.60
1/28/2013;81165.81;84902.67;84905.52;80702.38
1/29/2013;82178.34;80895.48;82225.44;80038.86
1/30/2013;78982.94;82143.17;82564.52;78917.69
1/31/2013;78783.47;79659.66;80364.40;78647.84
2/1/2013;80221.68;79050.00;80342.99;78989.19
2/4/2013;80722.66;80355.63;81209.68;79983.40
2/5/2013;80309.85;81011.13;81219.63;79937.99
2/6/2013;80054.41;80293.33;80736.48;79821.49
2/7/2013;78149.29;80147.09;80427.48;78079.29
2/8/2013;78683.99;78324.24;78813.64;77211.22
2/11/2013;77255.83;78831.90;78831.90;77255.83
2/12/2013;78078.81;77516.60;78886.68;77296.60
2/13/2013;77943.39;78549.54;79301.13;77943.39
2/14/2013;77580.50;77973.48;78110.14;76630.45
2/15/2013;78081.40;77773.88;78443.95;76697.64
2/18/2013;77907.51;78419.05;78528.48;77616.14
2/19/2013;78274.87;78017.50;78523.14;77256.60
2/20/2013;78891.26;78533.43;79074.49;78057.57
2/21/2013;77269.15;78350.45;78774.91;77154.43
2/22/2013;75898.69;77607.01;77682.62;75667.54
2/25/2013;76670.32;76073.46;76929.00;75634.39
2/26/2013;77514.33;75924.48;77955.93;75831.20
2/27/2013;78166.25;77906.17;78429.05;77198.43
2/28/2013;79333.67;78431.56;79506.25;78292.36
3/1/2013;79867.54;79319.90;79995.13;78649.04
3/4/2013;80612.21;79859.31;80770.58;79823.34
3/5/2013;81051.21;80873.00;81603.65;80805.74
3/6/2013;82173.98;81163.36;82398.70;81163.36
3/7/2013;81834.73;82348.26;82717.57;81546.20
3/8/2013;83541.62;82154.31;83763.78;81894.18
3/11/2013;83119.65;83519.07;83932.95;83119.65
3/12/2013;83347.54;83340.34;83785.80;83044.98
3/13/2013;82619.05;83320.98;83552.32;82612.02
3/14/2013;81981.58;82766.00;82952.97;81981.58
3/15/2013;83115.48;82541.51;83587.04;82419.46
3/18/2013;83378.82;82298.04;83466.01;82298.04
3/19/2013;82286.32;83703.02;83929.60;82153.84
3/20/2013;82160.84;82488.59;82961.02;82160.84
3/21/2013;82373.94;82109.08;83283.05;82028.07
3/22/2013;82452.04;82399.97;82600.16;81847.66
3/25/2013;82765.64;83032.61;83196.93;82372.19
3/26/2013;83970.92;83046.98;84002.69;82867.60
3/27/2013;84195.16;84155.80;84320.01;83450.41
3/28/2013;85253.95;85057.61;85477.82;84314.72
3/29/2013;85898.99;85397.98;85999.29;85222.67
4/1/2013;86112.33;85811.97;86370.94;85683.07
4/2/2013;86026.67;86091.71;86289.09;85358.13
4/3/2013;84860.07;86190.98;86366.29;84860.07
4/4/2013;83243.81;84803.76;84803.76;83243.81
4/5/2013;82071.25;83536.44;83536.44;82071.25
4/8/2013;83346.51;82299.84;83416.49;82033.19
4/9/2013;82770.42;83598.27;83781.19;82514.04
4/10/2013;82404.32;82865.91;83088.59;82204.37
4/11/2013;84102.61;83038.79;84175.37;83038.79
4/12/2013;84581.07;84316.76;84836.25;83944.50
4/15/2013;85107.29;84310.56;85536.45;84150.32
4/16/2013;84705.64;85165.30;85911.17;84299.46
4/17/2013;84397.87;85007.05;85287.80;84262.26
4/18/2013;83038.30;84517.63;84817.17;82610.97
4/19/2013;83285.45;83468.48;83492.02;82323.01
4/22/2013;84023.36;83611.26;84139.78;83236.63
4/24/2013;84780.38;84748.70;85026.83;84535.74
4/25/2013;84943.49;84962.37;85573.24;84566.65
4/26/2013;85112.29;85041.69;85362.28;84506.90
4/29/2013;85154.15;85325.53;85655.71;84627.58
4/30/2013;86046.04;85570.72;86499.52;85174.32
5/2/2013;88669.73;86255.38;88804.51;86062.93
5/3/2013;89093.70;88971.23;89986.73;88421.71
5/6/2013;89768.71;89055.55;89883.31;88759.86
5/7/2013;89459.45;89954.34;90372.96;89015.49
5/8/2013;90852.21;89738.59;91085.24;89360.83
5/9/2013;89931.15;91037.64;91371.70;89614.86
5/10/2013;89568.89;90218.29;90340.97;88872.61
5/13/2013;89765.18;89367.48;90159.78;88926.83
5/14/2013;91287.14;90386.20;91338.59;90152.29
5/15/2013;92112.07;91549.53;92250.95;91428.76
5/16/2013;91946.74;92235.83;92739.30;91575.74
5/17/2013;91924.84;93095.91;93116.29;91681.89
5/20/2013;90165.14;92172.88;92474.46;89975.65
5/21/2013;91190.82;90750.92;91421.66;90241.23
5/22/2013;93178.87;91514.24;93398.33;91189.12
5/23/2013;91351.40;91169.92;91844.56;90614.49
5/24/2013;91016.31;91706.47;92311.75;90870.35
5/27/2013;90546.75;91169.17;91186.30;90305.96
5/28/2013;89916.41;91097.78;91628.23;89820.01
5/29/2013;87174.54;89111.16;89111.16;87145.75
5/30/2013;87170.23;87037.15;87663.16;86654.56
5/31/2013;85990.01;87278.56;87524.80;84867.35
6/3/2013;76983.66;80463.03;82218.48;76983.66
6/4/2013;80733.25;78413.91;81146.76;78413.91
6/5/2013;79636.79;80177.66;80657.86;78809.73
6/6/2013;75895.26;79166.34;79729.63;73033.70
6/7/2013;78332.59;75834.46;78632.21;75108.21
6/10/2013;76386.19;76903.34;77853.97;75985.90
6/11/2013;75041.03;77046.88;78110.20;74306.98
6/12/2013;76880.65;75537.43;76900.30;75341.29
6/13/2013;76488.60;76668.82;77817.37;76488.60
6/14/2013;80011.09;78028.38;80048.27;78028.38
6/17/2013;78946.45;78596.16;80306.50;78291.09
6/18/2013;77739.61;79426.78;79784.73;77693.59
6/19/2013;78834.61;78381.12;79185.23;77862.60
6/20/2013;73461.89;76976.33;76982.62;73461.89
6/21/2013;73101.76;74268.98;74847.73;72496.59
6/24/2013;70640.50;72718.74;73536.84;70093.95
6/25/2013;71214.61;71542.29;73169.61;71098.01
6/26/2013;73851.53;71817.72;74013.53;71708.27
6/27/2013;75761.53;74620.62;76067.56;74620.62
6/28/2013;76294.51;76342.82;77016.03;74423.23
7/1/2013;76736.59;76423.80;76908.11;75670.14
7/2/2013;76438.81;76965.67;76965.67;75993.48
7/3/2013;73718.71;75843.30;75843.30;73294.53
7/4/2013;75409.63;74219.65;75569.30;73397.65
7/5/2013;73111.83;75637.22;75806.34;73050.20
7/8/2013;71682.30;73257.01;73643.11;71402.71
7/9/2013;71981.59;72483.00;73077.53;71731.95
7/10/2013;71074.11;72608.51;73133.24;70409.35
7/11/2013;71789.85;72853.46;73168.79;71174.13
7/12/2013;73921.95;72028.71;73935.79;71519.01
7/15/2013;76227.95;74275.51;76227.95;74200.44
7/16/2013;75678.08;76180.34;76542.90;75236.78
7/17/2013;77072.09;75804.32;77255.44;75426.16
7/18/2013;77022.76;77074.46;77662.96;76384.05
7/19/2013;75873.99;76857.26;77022.10;75760.43
7/22/2013;75816.02;76181.83;76395.64;75447.43
7/23/2013;75368.07;76180.76;77176.29;75180.22
7/24/2013;74015.22;75503.36;75712.83;73920.92
7/25/2013;73849.74;73624.96;73958.82;72455.21
7/26/2013;72555.00;74006.79;74182.39;72473.27
7/29/2013;72938.89;72352.27;73052.72;72070.08
7/30/2013;74420.79;73649.15;74562.74;73487.00
7/31/2013;73377.45;74305.21;74593.37;72941.60
8/1/2013;73401.77;74253.84;74392.77;73345.35
8/2/2013;74032.75;73543.47;74231.62;72827.17
8/5/2013;74290.06;74168.92;74896.69;74019.91
8/6/2013;74031.56;74271.43;74498.06;73733.35
8/7/2013;73544.83;73785.24;73932.31;73544.83
8/12/2013;75374.51;74264.51;75374.51;74108.15
8/13/2013;75514.24;75599.75;76126.07;75159.06
8/14/2013;75585.89;75643.10;76134.10;75417.87
8/15/2013;73978.17;75629.65;76041.51;73825.19
8/16/2013;74275.43;74041.81;74467.73;73472.43
8/19/2013;72382.71;73693.10;73693.10;72382.71
8/20/2013;72204.25;72282.21;72560.54;71463.37
8/21/2013;69709.46;72228.08;72366.57;69709.46
8/22/2013;68300.05;68839.44;68898.81;67343.47
8/23/2013;67932.32;68718.94;68911.05;67297.09
8/26/2013;68775.02;68215.41;68947.49;67316.52
8/27/2013;65519.87;67632.63;67795.32;65478.78
